,ID,Nome,Gênero,Categoria,Idade,Altura,Peso,T1,T2,T3,Resultado
0,83282,João Vitor Dominic Santos Sousa,M,A,32,1.6950704031878925,71.8142821082621,2.113178231736443,20.006944635992948,10.3963306530378,Reprovado
1,77828,Ana Vitória Ana Laura Andrade,F,B,34,1.5529679325010326,51.790152457948864,1.08806861741866,11.709349435884706,7.345528834213975,Condicional
2,58960,Levi Breno Abranches,M,C,27,1.7393835284010437,77.82100891053291,1.4073129717924848,13.424655107794509,11.380107707482386,Reprovado
3,77651,Elisa Bandeira e Almeida Alves,F,B,23,1.5383649734309524,54.13597971529201,2.08940862244855,20.793838285024737,10.547200822874576,Reprovado
4,36410,Miguel Lucca Oliveira,M,B,27,1.7836743740415282,89.6710915032957,1.9223458746340747,19.884453869185624,11.108022990649788,Reprovado
5,41449,Rael Davi Miguel Ferreira Martins,M,A,24,1.8731280608989904,110.27019810090786,1.6560593898554654,17.915424428910395,8.355506987742034,Condicional
6,35569,Maria Vitória Madruga Fernandes,F,C,29,1.6016148407143587,64.04190699834388,0.29978000633012625,4.623192985879764,0.9610509674217445,Aprovado
7,33636,Henry Magalhães,M,B,31,1.6974133531428637,82.71516340480245,2.1884166241797507,20.822897472881795,9.992722126703352,Reprovado
8,35286,Martin José Miguel Ferreira,M,D,24,1.8161547621452094,74.84303353063017,0.5560254677670411,6.117046326742815,4.947394214113674,Aprovado
9,13895,Aylla Sophia Melinda Bandeira Sousa,F,B,32,1.684718068816637,81.46647045764801,1.6100519893733989,16.703137612311885,8.314588185324459,Reprovado
10,17785,Kalel Léonovo Ferreira e Albuquerque,M,D,31,1.8376339964598287,75.13377465143971,1.5685324795938664,15.121188969132332,11.1073299084347,Reprovado
11,58472,Antonella Mirella Martins,F,A,35,1.5343092409169896,54.914791563212106,1.337190077430638,12.461823700288198,9.519666082124385,Condicional
12,74571,Dominic Jesus,M,A,38,1.773152337585932,72.81291755729912,0.9216197850128143,8.60738553141515,9.42454755519252,Aprovado
13,11711,Mayla Almeida Vieira,F,C,29,1.509381289714351,59.273401712852674,1.5932255480737225,17.11334141166801,8.02478559250735,Reprovado
14,34561,Maria Liz Alves,F,C,29,1.6539858073249183,72.22768639585215,1.7569066180991326,19.666954880840244,11.286051852502759,Reprovado
15,90971,Bernardo Jesus,M,B,31,2.0614940266704065,102.1382777609465,0.8880533757758812,8.648109649206994,9.16026442890078,Condicional
